,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity
816,-1.1035251697223365,0.08696559370435046,-0.8631321462529203,0.3581616400761239,-0.976523873606284,0.5311956815760508,-0.07995473023891281,1.8327996093804306,1.5683778166685274
25,-0.3808494064156131,0.072939133111179,-0.0907230031868891,0.9784039730437792,-0.27704695358477577,-0.15981171324506738,0.18594107834540807,0.8524066287930993,1.5816441926345637
3146,0.8324783144158859,-0.38799922641558465,-0.1936375996268345,-0.008508340114715875,-0.31856796861987485,-1.6154976218517834,-0.23635271801848853,-0.26493298560690515,0.34915701450390196
1656,-1.0193610641191377,0.8214364271489673,-0.8510051815481986,1.6217011017267187,-2.739433307274636,-2.143708452150103,-0.6153845643272189,-0.43662302988471396,0.41993695210451487
3264,-0.8035634208236,1.3049527319325505,-0.16965745848372898,-0.4881822154824353,0.21163116000840196,-0.2795083271748718,1.4145168121502218,-0.162432266216509,0.5432979323607928
1500,-0.11992714993512796,-0.698973311952183,-0.6156533385038735,-0.4860514529038831,-0.11811825029098276,-1.098467090238301,-0.5556787140692006,-0.3962610120538925,0.670695538377355
51,0.5003609549069606,-2.9174944870727724,-1.1406726110229666,-1.206665403485956,-2.391021614772547,2.215210831327224,-1.4129704000110417,-0.020504430057521714,-1.9472166878943715
1578,-0.14193957097805085,1.0669454802289577,0.06520829556788003,-0.9134761491403126,-0.014799206837658466,0.8711398259624571,0.565352916003567,1.5889741757008653,1.2168098696787852
1321,-0.02547354645713591,0.9004675632340414,1.2093932917639498,0.16324246418580246,-2.058841166607013,-0.8702426260191889,-0.9560594565228169,-0.0030328430398707984,-0.9405979497558219
1122,-0.7948524328621902,0.8143755112982567,-0.9751772228203446,1.2653730050569687,1.2313777657937601,-1.0932428993776047,-0.22774724997261866,-1.4943961946323954,-1.3450614970839863
982,-1.589860755891487,0.582818695629016,0.9889231515515154,1.0485105094560825,-0.014799206837658466,-1.3944957297486418,-0.9718907225447633,-0.22153456714316058,-0.1453331183130299
2112,-2.285335645808263,0.08255263406190044,-0.697289074514794,0.909073898748211,-1.1761526433874032,-0.6726495826144866,-0.6988006857281917,0.013636032150744902,-2.067825108787589
1381,1.6523590410984383,-0.6322124872708802,-2.00152501900193,-0.44591786613604556,1.0305823228756998,-0.2461926896068907,-0.1604609309550715,-0.5688393848022797,0.34675356922333705
314,0.14828273137591444,-0.6658324037774304,1.3661733219091852,1.5096350161693106,-2.0599565738135475,0.11016849803201642,0.607270883625355,0.9692454263183583,0.6409713216007955
1430,0.2200064271876284,0.6560447637182155,0.283791109958273,-0.7601370000179557,-0.014799206837658466,-0.002500962244419301,-0.6112544589125833,-1.0721364146383958,-1.9319751958053144
2027,-0.21943220486244433,-0.5954828003608422,1.1436235132922616,0.511507480642377,-0.014799206837658466,0.5066499940500725,-0.9281683258060498,-1.1970840245994079,-0.2968392281278377
577,0.9414156725522927,0.984423098692148,-0.6789488566624655,-1.8825562106079672,0.6280439123575294,-0.6866949262166832,-0.06749791549774965,1.012028676628203,1.2143207722774356
2900,-0.07086387045890276,-0.4100688331279913,1.143292713471333,0.18352330044668513,1.19937924384654,-1.2425512292179648,0.02003545283031912,0.2311863162591202,0.395381344995608
3204,0.6824443219280318,-2.1617439568824572,0.21867679730073586,1.042987127893782,-0.4403919981368172,-0.34495391777179224,0.3006999867205123,-0.23714032802694798,0.40125574940273195
1637,-0.02547354645713591,-1.2161730576032386,0.5556762017955795,-1.4075906716752304,-1.153614055539503,1.5841299685307586,-0.002378527826187274,-0.8197554564997149,0.9521015080393249
483,0.504096035359961,-0.18420194905877169,-0.2035972459794439,1.304371901059543,0.056183032846942184,-0.5813789557459939,0.20993028330157784,0.44508811470599635,-1.1158065552256076
440,-0.02547354645713591,-0.28886864305423393,0.45515348046294307,0.866322037053578,-0.3573734121824953,1.3355136007946937,1.6945695968784227,-0.7631827387069989,1.5088856034595681
2372,0.7483882242185439,1.4564235556253555,1.0380389013376974,-1.5133302076229649,-1.335876144679757,-0.0938664579749822,0.17796765921055774,-0.6306192455661775,0.9517514421624323
38,-0.02547354645713591,-1.6096176022941897,-0.23631394816078313,-0.778044325452756,-0.014799206837658466,0.011453298054532473,2.474537599379232,-0.8424507077947787,-1.3575190112658595
962,0.11241028502368444,0.47158792771330144,-0.9241531999586154,0.6834499949163534,0.31644011479093587,0.8440829259500205,0.3420864608058837,-2.1348824577312384,0.7241646889888391
2656,-0.7897715852889456,-1.4528342330571886,-0.8607398819900769,-0.6085136111668692,-0.014799206837658466,0.01034343673753214,0.04185238670358294,-0.6308584185757937,-1.880075883056464
